開催日,大会名,店名,開催都道府県,大会カテゴリ,順位,獲得CSP,プレイヤーID,プレイヤー名,デッキ名,大会ID,詳細URL,元テキスト,取得日時
2022-10-08,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード東京本店,東京都,オープン,1,100,0000000007,選手07,サーナイトex,700001,,"1 位	100pt	選手07
プレイヤーID：0000000007",2026-07-29T00:00:00Z
2022-10-08,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード東京本店,東京都,オープン,2,75,0000000014,選手14,ドラパルトex,700001,,"2 位	75pt	選手14
プレイヤーID：0000000014",2026-07-29T00:00:00Z
2022-10-08,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード東京本店,東京都,オープン,3,50,0000000016,選手16,サーナイトex,700001,,"3 位	50pt	選手16
プレイヤーID：0000000016",2026-07-29T00:00:00Z
2022-10-08,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード東京本店,東京都,オープン,4,50,0000000018,選手18,リザードンex,700001,,"4 位	50pt	選手18
プレイヤーID：0000000018",2026-07-29T00:00:00Z
2022-10-08,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード東京本店,東京都,オープン,5,25,0000000027,選手27,リザードンex,700001,,"5 位	25pt	選手27
プレイヤーID：0000000027",2026-07-29T00:00:00Z
2022-10-08,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード東京本店,東京都,オープン,6,25,0000000028,選手28,タケルライコex,700001,,"6 位	25pt	選手28
プレイヤーID：0000000028",2026-07-29T00:00:00Z
2022-10-08,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード東京本店,東京都,オープン,7,25,0000000035,選手35,リザードンex,700001,,"7 位	25pt	選手35
プレイヤーID：0000000035",2026-07-29T00:00:00Z
2022-10-08,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード東京本店,東京都,オープン,8,25,0000000036,選手36,タケルライコex,700001,,"8 位	25pt	選手36
プレイヤーID：0000000036",2026-07-29T00:00:00Z
2023-03-08,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード東京本店,東京都,オープン,1,100,0000000011,選手11,サーナイトex,700002,,"1 位	100pt	選手11
プレイヤーID：0000000011",2026-07-29T00:00:00Z
2023-03-08,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード東京本店,東京都,オープン,2,75,0000000020,選手20,リザードンex,700002,,"2 位	75pt	選手20
プレイヤーID：0000000020",2026-07-29T00:00:00Z
2023-03-08,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード東京本店,東京都,オープン,3,50,0000000031,選手31,タケルライコex,700002,,"3 位	50pt	選手31
プレイヤーID：0000000031",2026-07-29T00:00:00Z
2023-03-08,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード東京本店,東京都,オープン,4,50,0000000032,選手32,リザードンex,700002,,"4 位	50pt	選手32
プレイヤーID：0000000032",2026-07-29T00:00:00Z
2023-03-08,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード東京本店,東京都,オープン,5,25,0000000033,選手33,リザードンex,700002,,"5 位	25pt	選手33
プレイヤーID：0000000033",2026-07-29T00:00:00Z
2023-03-08,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード東京本店,東京都,オープン,6,25,0000000034,選手34,リザードンex,700002,,"6 位	25pt	選手34
プレイヤーID：0000000034",2026-07-29T00:00:00Z
2023-03-08,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード東京本店,東京都,オープン,7,25,0000000036,選手36,ドラパルトex,700002,,"7 位	25pt	選手36
プレイヤーID：0000000036",2026-07-29T00:00:00Z
2023-03-08,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード東京本店,東京都,オープン,8,25,0000000041,選手41,タケルライコex,700002,,"8 位	25pt	選手41
プレイヤーID：0000000041",2026-07-29T00:00:00Z
2022-10-09,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード池袋店,東京都,オープン,1,100,0000000006,選手06,リザードンex,700003,,"1 位	100pt	選手06
プレイヤーID：0000000006",2026-07-29T00:00:00Z
2022-10-09,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード池袋店,東京都,オープン,2,75,0000000010,選手10,サーナイトex,700003,,"2 位	75pt	選手10
プレイヤーID：0000000010",2026-07-29T00:00:00Z
2022-10-09,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード池袋店,東京都,オープン,3,50,0000000013,選手13,サーナイトex,700003,,"3 位	50pt	選手13
プレイヤーID：0000000013",2026-07-29T00:00:00Z
2022-10-09,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード池袋店,東京都,オープン,4,50,0000000016,選手16,リザードンex,700003,,"4 位	50pt	選手16
プレイヤーID：0000000016",2026-07-29T00:00:00Z
2022-10-09,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード池袋店,東京都,オープン,5,25,0000000021,選手21,タケルライコex,700003,,"5 位	25pt	選手21
プレイヤーID：0000000021",2026-07-29T00:00:00Z
2022-10-09,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード池袋店,東京都,オープン,6,25,0000000026,選手26,ドラパルトex,700003,,"6 位	25pt	選手26
プレイヤーID：0000000026",2026-07-29T00:00:00Z
2022-10-09,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード池袋店,東京都,オープン,7,25,0000000033,選手33,リザードンex,700003,,"7 位	25pt	選手33
プレイヤーID：0000000033",2026-07-29T00:00:00Z
2022-10-09,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード池袋店,東京都,オープン,8,25,0000000041,選手41,ドラパルトex,700003,,"8 位	25pt	選手41
プレイヤーID：0000000041",2026-07-29T00:00:00Z
2023-03-09,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード池袋店,東京都,オープン,1,100,0000000003,選手03,サーナイトex,700004,,"1 位	100pt	選手03
プレイヤーID：0000000003",2026-07-29T00:00:00Z
2023-03-09,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード池袋店,東京都,オープン,2,75,0000000004,選手04,ドラパルトex,700004,,"2 位	75pt	選手04
プレイヤーID：0000000004",2026-07-29T00:00:00Z
2023-03-09,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード池袋店,東京都,オープン,3,50,0000000017,選手17,サーナイトex,700004,,"3 位	50pt	選手17
プレイヤーID：0000000017",2026-07-29T00:00:00Z
2023-03-09,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード池袋店,東京都,オープン,4,50,0000000019,選手19,リザードンex,700004,,"4 位	50pt	選手19
プレイヤーID：0000000019",2026-07-29T00:00:00Z
2023-03-09,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード池袋店,東京都,オープン,5,25,0000000020,選手20,ドラパルトex,700004,,"5 位	25pt	選手20
プレイヤーID：0000000020",2026-07-29T00:00:00Z
2023-03-09,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード池袋店,東京都,オープン,6,25,0000000021,選手21,リザードンex,700004,,"6 位	25pt	選手21
プレイヤーID：0000000021",2026-07-29T00:00:00Z
2023-03-09,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード池袋店,東京都,オープン,7,25,0000000023,選手23,タケルライコex,700004,,"7 位	25pt	選手23
プレイヤーID：0000000023",2026-07-29T00:00:00Z
