開催日,シティ年度,大会名,会場名,開催都道府県,大会カテゴリ,順位,獲得CSP,プレイヤーID,プレイヤー名,大会ID,詳細URL
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,【CARDBOX】青馬堂矢向店,神奈川県,オープン,5,25,0031863573,96ku,109310,https://www.pokemon-card.com/deck/confirm.html/deckID/vkfF1F-kWJBHG-Fk5fVf
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,【CARDBOX】青馬堂矢向店,神奈川県,オープン,5,25,0028570192,フェリズ,109310,https://www.pokemon-card.com/deck/confirm.html/deckID/nngLnn-CSPYU5-g9QiNg
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,【CARDBOX】青馬堂矢向店,神奈川県,オープン,5,25,0007016363,ロコモコcomic,109310,https://www.pokemon-card.com/deck/confirm.html/deckID/yyyyyy-Pw4cSW-pXESXy
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,【CARDBOX】青馬堂矢向店,神奈川県,オープン,5,25,0004472120,maki,109310,https://www.pokemon-card.com/deck/confirm.html/deckID/nngQ9P-8KpCX7-nNNnNL
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,【CARDBOX】青馬堂矢向店,神奈川県,オープン,3,50,0036555352,ガラガラ,109310,https://www.pokemon-card.com/deck/confirm.html/deckID/vkF11f-tXCEbX-vkFFv1
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,【CARDBOX】青馬堂矢向店,神奈川県,オープン,3,50,0031566203,ショウex,109310,https://www.pokemon-card.com/deck/confirm.html/deckID/c8cxaY-Ew2WDJ-KxcYD8
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,【CARDBOX】青馬堂矢向店,神奈川県,オープン,2,75,0002634038,こここ,109310,https://www.pokemon-card.com/deck/confirm.html/deckID/cc88DY-EzKiSJ-8a8cc4
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,【CARDBOX】青馬堂矢向店,神奈川県,オープン,1,100,0036315794,おにく,109310,https://www.pokemon-card.com/deck/confirm.html/deckID/gNQQnN-wgVJ6v-nPnHnL
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,フルコンプ PLAYERS CENTER 八王子本店,東京都,オープン,9,15,0041712049,のっきー,109296,https://www.pokemon-card.com/deck/confirm.html/deckID/xxJYxc-7IGWCz-8xGDD8
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,フルコンプ PLAYERS CENTER 八王子本店,東京都,オープン,9,15,0036257160,タケノコ,109296,https://www.pokemon-card.com/deck/confirm.html/deckID/kfFk5f-8SbtvX-vkfwdd
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,フルコンプ PLAYERS CENTER 八王子本店,東京都,オープン,9,15,0036189737,Selinen,109296,https://www.pokemon-card.com/deck/confirm.html/deckID/cJc488-3uA1B7-8DYYY8
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,フルコンプ PLAYERS CENTER 八王子本店,東京都,オープン,9,15,0031772460,かろん,109296,https://www.pokemon-card.com/deck/confirm.html/deckID/nnnPPP-oSKi8n-QNNgLQ
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,フルコンプ PLAYERS CENTER 八王子本店,東京都,オープン,9,15,0030356254,かん,109296,https://www.pokemon-card.com/deck/confirm.html/deckID/XSpXyy-Gt2Etz-pMRUSS
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,フルコンプ PLAYERS CENTER 八王子本店,東京都,オープン,9,15,0008386421,おにいさん,109296,https://www.pokemon-card.com/deck/confirm.html/deckID/gNQLLn-EWHL1W-PQ9nnn
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,フルコンプ PLAYERS CENTER 八王子本店,東京都,オープン,9,15,0001296312,かいと,109296,https://www.pokemon-card.com/deck/confirm.html/deckID/FVfFVk-3HD2c9-51kvF1
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,フルコンプ PLAYERS CENTER 八王子本店,東京都,オープン,9,15,0000886574,てぃら,109296,https://www.pokemon-card.com/deck/confirm.html/deckID/fF1Fkv-hUbpaj-fF1Fvk
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,フルコンプ PLAYERS CENTER 八王子本店,東京都,オープン,5,25,0042932910,タイジ,109296,https://www.pokemon-card.com/deck/confirm.html/deckID/pypyUy-lhhlNY-EXyyS3
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,フルコンプ PLAYERS CENTER 八王子本店,東京都,オープン,5,25,0035807081,すず,109296,https://www.pokemon-card.com/deck/confirm.html/deckID/3EMRSS-NHDkAu-yXpyyp
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,フルコンプ PLAYERS CENTER 八王子本店,東京都,オープン,5,25,0001968295,どらぽん,109296,https://www.pokemon-card.com/deck/confirm.html/deckID/yyM3Xp-FT7aLl-SpEyMy
2023-05-28,2023,シティリーグ2023 シーズン4 オープンリーグ,フルコンプ PLAYERS CENTER 八王子本店,東京都,オープン,5,25,0000010898,アース,109296,https://www.pokemon-card.com/deck/confirm.html/deckID/XyXppX-ldw0bx-SpyUyp
